cnpj,razao_social,nome_fantasia,cep,endereco,bairro,cidade,uf,telefone,whatsapp,canal_preferencial,latitude,longitude,ativo,service_radius_km,prioridade,atende_empresarial,atende_residencial
69701713,C H NOGUEIRA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
69701713,C H NOGUEIRA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
69701713,C H NOGUEIRA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
11121813,CLAUDIA MARIA FERREIRA APOLONIO,,,,,,,,,,,,True,,0,True,True
11121813,CLAUDIA MARIA FERREIRA APOLONIO,,,,,,,,,,,,True,,0,True,True
01643072000209,COMERCIAL DE COMBUSTIVEIS E GAS MEDEIROS LTDA,,,,,,,,,,,,True,,0,True,True
17932413,COMERCIAL DE GAS OH LTDA,,,,,,,,,,,,True,,0,True,True
2235613,COMERCIAL DE GAS PAI E FILHO PENTECOSTE LTDA,,,,,,,,,,,,True,,0,True,True
04248030000768,COMERCIAL DE GAS PEIXOTO LTDA,,,,,,,,,,,,True,,0,True,True
04248030000172,COMERCIAL DE GAS PEIXOTO LTDA,,,,,,,,,,,,True,,0,True,True
04248030000687,COMERCIAL DE GAS PEIXOTO LTDA,,,,,,,,,,,,True,,0,True,True
04248030000253,COMERCIAL DE GAS PEIXOTO LTDA,,,,,,,,,,,,True,,0,True,True
02635912000165,COMERCIAL DE GAS SILVEIRA SAO FRANCISCO LTDA,,,,,,,,,,,,True,,0,True,True
06239697000134,COMERCIAL DE GAS TABULEIRO LTDA,,,,,,,,,,,,True,,0,True,True
15234313,COMERCIO DE GAS E AGUA AMONTADA LTDA,,,,,,,,,,,,True,,0,True,True
48817613,COMERCIO DE GAS LP LTDA,,,,,,,,,,,,True,,0,True,True
09140313000110,COMERCIO DE GAS MELO NOGUEIRA LTDA,,,,,,,,,,,,True,,0,True,True
5480313,COMPLEXO GAS COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
05489738000188,C R CAVALCANTE BARBOSA,,,,,,,,,,,,True,,0,True,True
11766713,DAVID LOPES DA SILVA,,,,,,,,,,,,True,,0,True,True
1170113,DELTA DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
1170113,DELTA DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
1170113,DELTA DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
1170113,DELTA DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
1170113,DELTA DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
1170113,DELTA DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
1170113,DELTA DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
1170113,DELTA DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
55513513,D E S COMERCIO VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
1351913,DEUS TE PAGUE COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
17261613,D F MACEDO,,,,,,,,,,,,True,,0,True,True
10535913,DIEGO ANTONINO MARTINS ALVES,,,,,,,,,,,,True,,0,True,True
10535913,DIEGO ANTONINO MARTINS ALVES,,,,,,,,,,,,True,,0,True,True
1287813,DISTRIBUIDORA DE GAS DAS MARES LTDA,,,,,,,,,,,,True,,0,True,True
41571313,DISTRIBUIDORA DE GAS SANTA RITA LTDA,,,,,,,,,,,,True,,0,True,True
22269413,DL DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
03312830000142,DUNAS GAS COMERCIAL LTDA,,,,,,,,,,,,True,,0,True,True
10676113,E A DUTRA VASCONCELOS LTDA,,,,,,,,,,,,True,,0,True,True
12626713,E C NOBRE COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
39592613,E DE PAULA JUNIOR EIRELI,,,,,,,,,,,,True,,0,True,True
05241369000100,EDUARDO LIMA ARAUJO,,,,,,,,,,,,True,,0,True,True
37106213,E J COMERCIO VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
35142413,ELISETE BATISTA BARROSO,,,,,,,,,,,,True,,0,True,True
32046313,ELY GAS COMERCIAL LTDA,,,,,,,,,,,,True,,0,True,True
12351713,FEIJO COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
07442301000114,F G GAS LTDA,,,,,,,,,,,,True,,0,True,True
07900111000446,F HAROLDO VASCONCELOS E CIA LTDA,,,,,,,,,,,,True,,0,True,True
06160331000175,FIELGAS REVENDEDOR DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
36534213,FORTALEZA COMERCIO VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
03756971000740,FP COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
03756971000154,FP COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
03756971000820,FP COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
03756971000316,FP COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
15589313,FRANCA PINTO E CIA LTDA,,,,,,,,,,,,True,,0,True,True
15589313,FRANCA PINTO E CIA LTDA,,,,,,,,,,,,True,,0,True,True
01565230000160,FRANCISCA FRANCO DA SILVA,,,,,,,,,,,,True,,0,True,True
07811757000104,FRANCISCO ANTONIO AGUIAR,,,,,,,,,,,,True,,0,True,True
63498713,FRANCISCO MARQUES,,,,,,,,,,,,True,,0,True,True
02288791000122,FRANCISCO MOACELIO PRADO LTDA,,,,,,,,,,,,True,,0,True,True
23283113,FRANCISCO MOACIR MONTEIRO MELO FILHO,,,,,,,,,,,,True,,0,True,True
44556213,FRS COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
02985662000274,GAS SERVICE COMERCIAL LTDA,,,,,,,,,,,,True,,0,True,True
02985662000193,GAS SERVICE COMERCIAL LTDA,,,,,,,,,,,,True,,0,True,True
26454513,GIOVANA PEDRASSANI COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
26454513,GIOVANA PEDRASSANI COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
26454513,GIOVANA PEDRASSANI COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
63346813,GIOVANNI SILVA QUEIROZ,,,,,,,,,,,,True,,0,True,True
05305768000197,GRANJA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08799201000293,GRUPO MARINHEIRO GAS LTDA,,,,,,,,,,,,True,,0,True,True
08799201000102,GRUPO MARINHEIRO GAS LTDA,,,,,,,,,,,,True,,0,True,True
08799201000617,GRUPO MARINHEIRO GAS LTDA,,,,,,,,,,,,True,,0,True,True
08799201000374,GRUPO MARINHEIRO GAS LTDA,,,,,,,,,,,,True,,0,True,True
08799201000889,GRUPO MARINHEIRO GAS LTDA,,,,,,,,,,,,True,,0,True,True
08799201000455,GRUPO MARINHEIRO GAS LTDA,,,,,,,,,,,,True,,0,True,True
08799201000706,GRUPO MARINHEIRO GAS LTDA,,,,,,,,,,,,True,,0,True,True
02596358000154,GUSTAVO DOMINGOS LIMA NETO,,,,,,,,,,,,True,,0,True,True
07989746000119,HIPERGAS COMERCIO DE GAS LIQUEFEITO LTDA,,,,,,,,,,,,True,,0,True,True
44167213,H V COMERCIO VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
02012496000149,IBIAPINA COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
03491031000180,IRANEIDE R C XIMENES COMERCIO DE GAS,,,,,,,,,,,,True,,0,True,True
10414513,IRMAOS GONDIM COMERCIO DE DERIVADOS DE PETROLEO LTDA,,,,,,,,,,,,True,,0,True,True
10414513,IRMAOS GONDIM COMERCIO DE DERIVADOS DE PETROLEO LTDA,,,,,,,,,,,,True,,0,True,True
16526313,IRMAOS GONDIM DISTRIBUIDORA DE GAS E AGUA LTDA,,,,,,,,,,,,True,,0,True,True
11751213,J AUGUSTO DA SILVA MERCEARIA,,,,,,,,,,,,True,,0,True,True
09543460000130,JC COMERCIAL VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
09543460000211,JC COMERCIAL VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
4238413,J E C COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
21152613,J E L COMERCIO DE COMBUSTIVEIS LTDA,,,,,,,,,,,,True,,0,True,True
05531362000122,JENNIFER C BARBOSA,,,,,,,,,,,,True,,0,True,True
6337413,J ERANDIR CHAVES,,,,,,,,,,,,True,,0,True,True
15108313,JHM COMERCIO DE GAS LIQUEFEITO LTDA,,,,,,,,,,,,True,,0,True,True
15108313,JHM COMERCIO DE GAS LIQUEFEITO LTDA,,,,,,,,,,,,True,,0,True,True
20835213,J L COMERCIO DE GAS GLP LTDA,,,,,,,,,,,,True,,0,True,True
10575413,J MAIA COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
25185213,J M COMERCIO DE COMBUSTIVEIS MARANGUAPE LTDA,,,,,,,,,,,,True,,0,True,True
36600113,J M COMERCIO DE GAS BONSUCESSO LTDA,,,,,,,,,,,,True,,0,True,True
36600113,J M COMERCIO DE GAS BONSUCESSO LTDA,,,,,,,,,,,,True,,0,True,True
36600113,J M COMERCIO DE GAS BONSUCESSO LTDA,,,,,,,,,,,,True,,0,True,True
16830513,J M COMERCIO DE GAS CASTELAO LTDA,,,,,,,,,,,,True,,0,True,True
16830513,J M COMERCIO DE GAS CASTELAO LTDA,,,,,,,,,,,,True,,0,True,True
20123613,J M COMERCIO DE GAS MARANGUAPE LTDA,,,,,,,,,,,,True,,0,True,True
72292513,JOANA AGUIAR PARENTE,,,,,,,,,,,,True,,0,True,True
06050082000165,JOAO FELIX COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
63552413,JOAO LUIZ FERREIRA BARROS,,,,,,,,,,,,True,,0,True,True
07558992000388,JOSE LEORNE RIOS E CIA LTDA,,,,,,,,,,,,True,,0,True,True
07558992000205,JOSE LEORNE RIOS E CIA LTDA,,,,,,,,,,,,True,,0,True,True
07689433000226,J PEDROSA E CIA,,,,,,,,,,,,True,,0,True,True
03130171000123,J R COMERCIO VAREJISTA DE GAS LIQUEFEITO LTDA EPP,,,,,,,,,,,,True,,0,True,True
26580413,JULIANA A PINHEIRO,,,,,,,,,,,,True,,0,True,True
00115652000171,LEONILDA FERNANDES QUEIROZ,,,,,,,,,,,,True,,0,True,True
232113,L G CAUCAIA COMERCIO DE COMBUSTIVEIS LTDA,,,,,,,,,,,,True,,0,True,True
