razao_social;cnpj
E DE PAULA JUNIOR EIRELI;3,95926E+13
EDUARDO LIMA ARAUJO;05241369000100
E J COMERCIO VAREJISTA DE GLP LTDA;3,71062E+13
ELISETE BATISTA BARROSO;3,51424E+13
ELY GAS COMERCIAL LTDA;3,20463E+13
FEIJO COMERCIO DE GLP LTDA;1,23517E+13
F G GAS LTDA;07442301000114
F HAROLDO VASCONCELOS E CIA LTDA;07900111000446
FIELGAS REVENDEDOR DE GAS LTDA;06160331000175
FORTALEZA COMERCIO VAREJISTA DE GLP LTDA;3,65342E+13
FP COMERCIO DE GAS LTDA;03756971000740
FP COMERCIO DE GAS LTDA;03756971000154
FP COMERCIO DE GAS LTDA;03756971000820
FP COMERCIO DE GAS LTDA;03756971000316
FRANCA PINTO E CIA LTDA;1,55893E+13
FRANCA PINTO E CIA LTDA;1,55893E+13
FRANCISCA FRANCO DA SILVA;01565230000160
FRANCISCO ANTONIO AGUIAR;07811757000104
FRANCISCO MARQUES;6,34987E+13
FRANCISCO MOACELIO PRADO LTDA;02288791000122
FRANCISCO MOACIR MONTEIRO MELO FILHO;2,32831E+13
FRS COMERCIO DE GAS LTDA;4,45562E+13
GAS SERVICE COMERCIAL LTDA;02985662000274
GAS SERVICE COMERCIAL LTDA;02985662000193
GIOVANA PEDRASSANI COMERCIO DE GLP LTDA;2,64545E+13
GIOVANA PEDRASSANI COMERCIO DE GLP LTDA;2,64545E+13
GIOVANA PEDRASSANI COMERCIO DE GLP LTDA;2,64545E+13
GIOVANNI SILVA QUEIROZ;6,33468E+13
GRANJA COMERCIO DE GAS LTDA;05305768000197
GRUPO MARINHEIRO GAS LTDA;08799201000293
GRUPO MARINHEIRO GAS LTDA;08799201000102
GRUPO MARINHEIRO GAS LTDA;08799201000617
GRUPO MARINHEIRO GAS LTDA;08799201000374
GRUPO MARINHEIRO GAS LTDA;08799201000889
GRUPO MARINHEIRO GAS LTDA;08799201000455
GRUPO MARINHEIRO GAS LTDA;08799201000706
GUSTAVO DOMINGOS LIMA NETO;02596358000154
HIPERGAS COMERCIO DE GAS LIQUEFEITO LTDA;07989746000119
H V COMERCIO VAREJISTA DE GLP LTDA;4,41672E+13
IBIAPINA COMERCIAL DE GAS LTDA;02012496000149
IRANEIDE R C XIMENES COMERCIO DE GAS;03491031000180
IRMAOS GONDIM COMERCIO DE DERIVADOS DE PETROLEO LTDA;1,04145E+13
IRMAOS GONDIM COMERCIO DE DERIVADOS DE PETROLEO LTDA;1,04145E+13
IRMAOS GONDIM DISTRIBUIDORA DE GAS E AGUA LTDA;1,65263E+13
J AUGUSTO DA SILVA MERCEARIA;1,17512E+13
JC COMERCIAL VAREJISTA DE GLP LTDA;09543460000130
JC COMERCIAL VAREJISTA DE GLP LTDA;09543460000211
J E C COMERCIO DE GAS LTDA;4,2384E+13
J E L COMERCIO DE COMBUSTIVEIS LTDA;2,11526E+13
JENNIFER C BARBOSA;05531362000122
J ERANDIR CHAVES;6,3374E+13
JHM COMERCIO DE GAS LIQUEFEITO LTDA;1,51083E+13
JHM COMERCIO DE GAS LIQUEFEITO LTDA;1,51083E+13
J L COMERCIO DE GAS GLP LTDA;2,08352E+13
J MAIA COMERCIO DE GLP LTDA;1,05754E+13
J M COMERCIO DE COMBUSTIVEIS MARANGUAPE LTDA;2,51852E+13
J M COMERCIO DE GAS BONSUCESSO LTDA;3,66001E+13
J M COMERCIO DE GAS BONSUCESSO LTDA;3,66001E+13
J M COMERCIO DE GAS BONSUCESSO LTDA;3,66001E+13
J M COMERCIO DE GAS CASTELAO LTDA;1,68305E+13
J M COMERCIO DE GAS CASTELAO LTDA;1,68305E+13
J M COMERCIO DE GAS MARANGUAPE LTDA;2,01236E+13
JOANA AGUIAR PARENTE;7,22925E+13
JOAO FELIX COMERCIO DE GLP LTDA;06050082000165
JOAO LUIZ FERREIRA BARROS;6,35524E+13
JOSE LEORNE RIOS E CIA LTDA;07558992000388
JOSE LEORNE RIOS E CIA LTDA;07558992000205
J PEDROSA E CIA;07689433000226
J R COMERCIO VAREJISTA DE GAS LIQUEFEITO LTDA EPP;03130171000123
JULIANA A PINHEIRO;2,65804E+13
LEONILDA FERNANDES QUEIROZ;00115652000171
L G CAUCAIA COMERCIO DE COMBUSTIVEIS LTDA;2,321E+13
LG COMERCIO DE GAS LP LTDA;1,44766E+13
LIGAS COMERCIO DE GLP LTDA;08370382000157
LINHARES CAVALCANTE E CIA LTDA;05615802000120
LINHARES CAVALCANTE E CIA LTDA;05615802000391
LINO MELO LOIOLA;6,9709E+13
L J COMERCIO VAREJISTA DE GLP LTDA;4,87237E+13
L L CASTRO COMERCIO DE GAS;2,85471E+13
LOG COMERCIO DE GLP LTDA;09188305000658
LOG COMERCIO DE GLP LTDA;09188305000143
LUCIMAR C DE ARAUJO;4,12931E+13
LUCIVANDA MARIA SERPA PAIVA;04295547000112
LUIZA GLAURIA R T MENEZES;03602329001192
LUIZA GLAURIA R T MENEZES LTDA;03602329000110
LUIZA GLAURIA R T MENEZES LTDA;03602329000463
LUIZA GLAURIA R T MENEZES LTDA;03602329000706
LUIZA GLAURIA R T MENEZES LTDA;03602329000382
LUIZA GLAURIA R T MENEZES LTDA;03602329000544
LUNA E LIMA COMERCIAL DE GAS LTDA;2,43415E+13
M A COMERCIAL DE PETROLEO LTDA;02105074000118
M A COMERCIO DE GAS LTDA;08902789000188
MARIA BARRETO DE OLIVEIRA;1,17375E+13
MARIA BARRETO DE OLIVEIRA;1,17375E+13
MARIA BARRETO DE OLIVEIRA;1,17375E+13
MARIA CLAUDIANE APOLONIO NOGUEIRA;08281539000178
MARIA DO SOCORRO OLIVEIRA MONTEIRO;6,33131E+13
MARINHEIRO GAS LTDA;4,18893E+13
MARLENE P LINHARES F DE MELLO;07879436000141
MARLENE P LINHARES F DE MELLO;07879436000222
MARVIRE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;7,3407E+13
M C R COMERCIAL DE GAS LTDA;02678875000172
M.DIAS DISTRIBUIDORA DE GLP LTDA-ME;07268055000126
MELC COMERCIO DE GAS LTDA;07383659000709
MELC COMERCIO DE GAS LTDA;07383659000202
MELC COMERCIO DE GAS LTDA;07383659000628
MELC COMERCIO DE GAS LTDA;07383659000385
MELC COMERCIO DE GAS LTDA;07383659000547
MELC COMERCIO DE GAS LTDA;07383659000466
MELC COMERCIO DE GAS LTDA;07383659000113
MERCANTIL MAGALHAES SERAFIM LTDA;07630106000207
